content,label,title,author,s_area_id
東西不錯，就是貨運特別慢，多次打電話才送到。,positive,,,
挺好的,positive,,,
老家鄉里的電視被小娃娃弄壞了，一直都想換一個新電視 在京東上看了又看等到雙十一的時候也沒下手心裡還有些後悔 直到前幾天看到風行電視在搞活動果斷下單 昨晚師傅送貨到家安裝好了 電視效果不錯 清晰 聲音洪亮 物美價廉 希望風行能夠越做越好 越做越大,positive,,,
剛開箱試機，螢幕質地很好，畫面清淅度高，功能很全，這個價格很值了！,positive,,,
便宜實惠，就是色彩的鮮豔度差了點，如果要求不高還是可以接受的,positive,,,
還是不錯的，反應還是比較快的！！！ 曬單： 收起 向左轉 向右轉 2017-12-10 21:54:20 追加： 電視外觀挺不錯的，玫瑰金的邊框彰顯美感。電視遙控操作起來也很方便，遙控器不錯，比較靈敏！還會繼續購買！！ 收起 向左轉 向右轉,positive,,,
正品，很好，經常買,positive,,,
不錯,positive,,,
還不錯。性價比挺高的,positive,,,
果然超薄，也沒有太多發熱，雙十二下單，除了送貨時間久點，其他都不錯,positive,,,
不錯,positive,,,
電視不錯，大品牌沒問題，比較清晰,positive,,,
使用了兩周，效果不錯,positive,,,
物流就是贊。服務態度好 ，開箱檢查確保沒問題。已上電測試，沒問題，清晰度好。,positive,,,
電視還沒安裝，等待安裝。不過看著挺好的,positive,,,
確實是沒有辜負期望，值得購買，信賴大！,positive,,,
給父母買的，還不錯。不虧是小米。,positive,,,
物流可以，裝機也快捷，不錯,positive,,,
快遞送貨快，售後服務態度很好，安裝師傅上門安裝，耐心細緻講解疑問。電視清晰度高，音質不錯。暫時沒有發現問題。,positive,,,
相信創維的品質，所以購買。收到貨比較滿意，邊緣即使有一點沒有全屏，不影響視覺，取出電視後會有指紋留在電視螢幕上面，一般的布可以擦處，比電腦螢幕容易擦拭，其實可以打包出售貼膜，這樣小孩子不會好奇一直留指紋到螢幕上，擦拭更容易。遙控比較好用，不看說明書都會使用了，這一點出比我想像的好。視覺滿意，在意聽覺效果的需要加上音響。本來擔心電視會碎屏，收快遞現場驗貨沒有這個問題，滿意的一次購物！,positive,,,
電視機不錯，就是買小了，夏普是沒有退換這一說的，除非是大問題，讓師傅開簽定單，自己的原因，莫得法子，服務和性能肯定都是好評的，相信京東，全部的大件都是京東自營，?東繼續加油哦?懶得拍照片，就只拍了一下空調的，嘿嘿,positive,,,
值得購買！功能強大，效果非常不錯！,positive,,,
寶貝收到了，包裝很完整價格實惠，非常滿意的一次購物經歷！,positive,,,
寶貝一級棒！師傅也太負責了！好評！,positive,,,
電視品質不錯，色彩鮮豔 ，放客廳剛剛好，客服態度也不錯。,positive,,,
挺好的，性價比高,positive,,,
，電視機很好。價格便宜服務好，電視顯示效果還可以，,positive,,,
電視不錯的。送貨上門，暫時還沒有安裝,positive,,,
本人雙11買的 這個電視 外觀好看 檔次高 我的型號是創維65寸H7超薄的 昨天剛開機 電視給我感覺就是小了一點 我本來打算放客廳 現在放 臥室了 我房間要買創維100寸的藍牙遙控器 隨意切換一點都不卡，點什麼都是秒出來 好看 大氣我還要 再買一台100寸的.真的好喜歡他的架子 就是好看 不卡 大氣 買的你放心 買的你安心 買的你絕對不後悔走過路過 千萬別錯過 支持買 買買 差不多了 我去忙了 非常好,positive,,,
電視收到了顯示幕非常清晰，價錢實惠非常滿意,positive,,,
物流客服都很給力，比想像的還大，畫面也清晰。,positive,,,
曲屏就是比一般的屏清晰，價格還不貴,positive,,,
年會獎品，螢幕色彩不錯,positive,,,
終於等到了他的到來，還沒看呢，但是之前的小米電視感覺不錯,positive,,,
物流就是快 東西也是正品,positive,,,
電視和想像的差不多！海爾大品牌，值得信賴，客服態度好！有啥事立馬解決！非常喜歡，值得大家購買，過幾天追評,positive,,,
覺得是物有所值，首先送貨速度和送貨態度都非常滿意，然後打開電視，確實做工精細，畫面流暢清晰，操作也很人性化。總之，比較滿意！,positive,,,
性價比超高，非常划算，而且機器也不錯，滿意！,positive,,,
物超所值,positive,,,
開箱通電後沒啥問題，送貨的師傅還是很負責的。曲面屏的確上檔次。自己上幾顆螺絲安裝了，希望不要出問題。,positive,,,
"今天下單中午就到,速度快,下午馬上安裝!晚上就能看!神速!",positive,,,
感覺不錯，裝起來美的很，現在只想看電視了，什麼都不想幹,positive,,,
還很便宜值得這個價格很好,positive,,,
產品很好，目前很滿意。但我支付的2年售後服務沒有任何憑證，我不知如何取得，請告知,positive,,,
挺不錯的，價錢實惠,positive,,,
漂亮，大氣，物超所值！,positive,,,
東西不錯。很薄很輕。,positive,,,
送貨上門超級快，特別給力，自己裝上了，特省事特方便，真的太超值了，爸媽特別喜歡。電視操作很簡單，主要遙控器方便。視頻好多電視劇，可以開開心心大屏追劇。哈哈哈哈哈京東就是快，風行就是好,positive,,,
物美價廉哈，真行不錯，下次自己房間再買,positive,,,
物流很快，顯示效果也非常不錯。,positive,,,
用過一段時間，才來評價。電視很清晰，設計漂亮。很滿意的一次購物，感謝京東！謝謝送貨小哥！,positive,,,
很好，兩點下單上午就到了，服務很好。,positive,,,
京東超級會員，在京東買了好多東西，一直很好，售後還是物流都很滿意，東西超級喜歡,positive,,,
物流很快，到貨後，第二天安裝，用的WiFi看，效果不錯。3999買的，物有所值，比去商場買感覺省時，省力，省不省錢，目前不知，估計應該貴不到哪去，也懶的去比價了。,positive,,,
產品品質可以,positive,,,
電視機效果非常好，顏色出彩。畫面清晰流暢。另外客服七喜、陽光、堅果的服務也很到位，棒棒噠。,positive,,,
硬屏的圖像清晰，性價比高，希望後期不要出什麼品質問題,positive,,,
媽媽說，電視機不錯，用一段時間再說唄,positive,,,
電視機很滿意，大小也正好，畫質，音色都不錯，很棒。 另外橘子，西瓜客服棒棒噠,positive,,,
不錯的小米電視，便宜！品質也不錯哦！性價比很高 曬單： 收起 向左轉 向右轉,positive,,,
東西收到了快遞很給力，就是什麼配件都沒有，連最起碼的資料線都沒有,positive,,,
挺好的！跟想像中的差不多！物流也快！送貨師傅也很好！,positive,,,
整體效果很好，性價比超高！,positive,,,
安裝師傅很負責，說是空心牆，多加了幾顆螺絲固定。電視試看了下感覺不錯。 曬單： 收起 向左轉 向右轉,positive,,,
挺好的,positive,,,
電視非常好，京東送貨非常快，安裝師傅也非常負責，態度很好，螢幕非常清晰，價格也非常合理，主要給孩子買來看動畫片，不愧是4k非常清楚，孩子很喜歡，而且非常薄，總之非常滿意,positive,,,
很好用，色彩很好，簡單易用,positive,,,
電視給父母買的，父母覺得很滿意,positive,,,
給媽媽買的送貨超級快，免費安裝，送貨人員服務也很熱情，安裝師傅很用心，給媽媽耐心講解，媽媽說畫面很清晰，內容也很豐富，在家裡放著也不大，不占地方，挺好的電視,positive,,,
就不上圖了 一句話還不錯,positive,,,
臥室用的，畫面挺清晰，但是不能離近看，否則顏色會很詭異，安裝師傅挺好的,positive,,,
京東就是好，速度快，送貨師傅認真負責，售後安裝態度好,positive,,,
非常滿意，雙十二搶的，臥室以後也買這種,positive,,,
還可以吧！還沒用 看著挺不錯的！物流也挺快 ！,positive,,,
東西很好，經常在京東買東西,positive,,,
1.新疆的，送貨很及時，態度也很不錯。2.安裝需要安裝費，可能是比較遠，不過沒有讓他安裝，自己裝的。3.電視很清晰但有時螢幕下面部分有些許花，時間很短，可能是網的問題，過段時間再看看。,positive,,,
雙12買的電視_發貨速度很快_第二天就送到家裡了_當時打電話安裝師傅很快就到了_外觀很漂亮_圖像清楚！關鍵是前期服務確實不錯_,positive,,,
海爾大品牌。售後不錯，用著放心。,positive,,,
快遞服務好，好高大,positive,,,
實惠值得購買，性價比高，下次再光顧,positive,,,
電視收到了，畫面超清晰,positive,,,
早上下單，一天后就收到貨。自己拿著底座裝好，第二天早晨起來打開電視看了兩個大片，色彩絢麗，音質很好，非常滿意！,positive,,,
電視不錯，後面的藉口有弊端，電視掛牆後連線頂著牆了！,positive,,,
電視機不錯，音響效果好，畫質清晰。我是雙十一買的，雙12的前兩天我才收到貨，打了好多投訴電話，讓我很不開心，耽誤了一個月的時間。安裝工得態度不錯，服務也好，給安裝工點個贊?,positive,,,
送貨快，安裝快！,positive,,,
大品牌 防靜電包裝 值得信賴！,positive,,,
暴風電視蠻清楚的，外觀也漂亮，性價比可以,positive,,,
看起來還不錯，電視劇很大的,positive,,,
很好的購物體驗，產品更是沒得說，畫質，音質，絕對是物超所值！！,positive,,,
今天剛收到貨，還不錯,positive,,,
電視已經收到貨，整體來說，操作介面很清晰，很簡潔。會用普通電視遙控器，就能熟練操作風行電視。電視畫面非常清晰，應用包含許多內容，比如，電影，綜藝，幼兒卡通等等。螢幕大，我今年雙12下的單，活動價買的非常超值，曬單還給價值1500多元的風行3年的金牌會員，更超值啦。這個電視值得購買，一定推薦給身邊的朋友。,positive,,,
我老媽可喜歡這電視了，不錯，不錯，五星好評,positive,,,
電視到了，很不錯，安裝很方便。但是送兒童會員月卡還沒送，客服說到時會發短信給我,positive,,,
就是薄，看著非常不錯。,positive,,,
挺好的，是我喜歡的！,positive,,,
東西收到了，京東發貨太快了，不錯！,positive,,,
非常好的電視使用滿意,positive,,,
不錯！很好用！視覺效果很棒！,positive,,,
電視不錯，很喜歡,positive,,,
雙十二搶購，價格很優惠，第二天就送到安裝，特意用了幾天才來評價。39寸放小客廳裡正好，畫面清晰，資源豐富，是部值得推薦的好電視！,positive,,,
螢幕非常清晰,positive,,,
物超所值 曬單： 收起 向左轉 向右轉,positive,,,
物流快，大電視看著就是舒服！,positive,,,
京東客服商家客服都好！電視有點問題當天回饋第二天就來換新！售後好！打電話就來！京東值得信賴！,positive,,,
不錯，值。,positive,,,
電視還沒開始用，今天師傅上門安裝在了牆上，超贊！,positive,,,
小米官網比這裡貴一塊錢，嘟嘟嘟諾諾頭，用起來非常好。祝福我倆同學看著電視和和美美，幸福永久！,positive,,,
好 挺不錯的 很薄不占地方,positive,,,
不錯，很好，性價比很高，值得推薦購買，做工精緻,positive,,,
好，用了很長時間才來評論，很清晰,positive,,,
買給爸媽還不錯,positive,,,
東西十分不錯，很實用，還會再買,positive,,,
真的，很好，京東快遞不用說，兩天就到了，送貨上門，服務態度很好，這電視買值了，很清晰，兒子挺喜歡看電視的，連接無線網是也挺流暢的，特地使用幾天之後再來評價的，,positive,,,
電視很棒。,positive,,,
價格便宜，值得購買,positive,,,
饑餓行銷，永遠都是搶購的節奏，性價比還是挺高的，至於品質只有用過的才知道！,positive,,,
70寸，剛好夠大。清晰度不錯，希望品質沒問題！ 曬單： 收起 向左轉 向右轉,positive,,,
不錯不錯,positive,,,
一共買了六台，創維的電視值得信賴，客服的態度也是棒棒的,positive,,,
這是我買的第二台微鯨電視了，去年買的是43英寸的主要上是給我女兒看動畫片的，才發現微鯨電視原來這麼好，感覺比同類別的互聯網電視好太多了，簡直是驚喜啊。這次本來還想再買43英寸的，但今年漲價幅度太大了，所以對比發現買55英寸的最划算。前段時間經過小米的店面發現4K55英寸在搞活動才2999元，於是去體驗了一下，但總感覺沒微鯨的好，便沒了買的衝動。剛好微鯨在京東這次活動價2999，買的非常超值。今天中午就送到，物流很快。現在已經在用了，真的非常棒，電視反應速度很快，也非常清晰，關鍵是微鯨的系統確實好用，絕對物超所值！,negative,,,
這台電視不錯，1080的解析度也還行，就是價格比去年不美麗了。這個也是大環境，大家都漲價了，萬惡的三星。說說電視，之所以不選小米，是因為小米4a介面朝後，掛牆不方便。之所以不選樂視，是因為樂視系統操作邏輯太奇葩。微鯨的電視以前買過一台，系統UI還是挺好用的，有好感，這次是剛需，就入手一個,negative,,,
1.機子看了5天了，挺好的，符合描述的硬屏，大屏，較薄，14kg。 2.畫面清晰，贈送一年的會員，可以看騰訊VIP，但是只有超清影片才能體現4k的畫質。 3.可以通過小鷹直播看電視直播，系統自帶，但是某些電視臺的畫質非常不好。 4.遙控器簡潔好用，如圖。但是贈送手環是行銷手段，諮詢客服說只有300名。早說.... 總體超值超值超值,negative,,,
618搶的，搶完就降價了，掛架等了七天才發過來，當初說的100E卡也沒有，客服也不理人，對客服真是沒有好感。,negative,,,
包裝完好嚴實，兩天送達，物流超快。開機要三鐘以上，煩。圖像清晰，語音辨識度很高。秒殺，多少秒啊，害得我9日淩晨起來秒，誰知24小時還沒秒完500台。第二天還接著又是秒殺日。感覺心塞。早知這樣，我就安心睡覺到天亮。,negative,,,
不掛機，是不收費的，服務好，但是，第二天就降價了，差了200元和一個掛架,negative,,,
第二台了，就是一兩個月就降價這麼多，心裡不太爽。,negative,,,
第一次用微鯨的曲屏，55寸有一點小，剛買過就降價了，有點。。。。。。,negative,,,
電視 目前沒問題，問題是買來沒幾天就降價，心裡就不舒服了，搞活動都是套路啊降價太快了，幾天一降價,negative,,,
電視本身真的很棒，沒有什麼問題，但是關於一個小小的電視掛架卻讓你感覺很不好。必須確認收貨之後才能送電視掛架，這樣真的不會影響用戶體驗和使用嗎？我知道這是你們所謂的規！定！電視收到後是京東安裝主動給我打的電話，安裝費+通用掛架共100元，而且當天可以安裝，這就讓我稍微猶豫了一下，要是等微鯨送的掛架，我的電視就要在地上放一段時間（根本沒設計電視櫃）個人感覺至少要再等15天以上，如果花100元安裝通用掛架，那微鯨所謂“送”的掛架又該怎麼辦？我知道商家肯定又會說，用戶可以自由選擇呀！最後我還是選擇了京東安裝，也聯繫客服要了微鯨送的掛機。微鯨電視在產品本身、客服、運輸安裝上都很不錯，為什麼非要在一個小小的掛架上做這樣的文章呢？讓人感覺不是很舒服，其實完全可以一百分的用戶體驗，這樣只能給到95分。我寧可商家沒有這個贈送掛架的活動，我會自己選擇花錢購買！！！！！！！！！！！不知道其他用戶有沒有這樣的感覺！這算是細節嗎？？你想要讓大眾接受一個新的品牌這樣應該有問題吧！,negative,,,
電視到了，螢幕真的很清晰，送貨小哥也不錯，秉承京東規定吧，讓坐也不坐，圖片是用螢幕大師測試的，很好，沒有壞點，反應靈敏，看差評說開機時間太長，我試了一下，只是在斷電重啟會長一些，這屬於正常，沒有開機廣告hin好，就是送的掛架太少了，沒趕上。。。,negative,,,
電視給爸爸買的，總體感覺還不錯，就是送的掛架下單說缺貨，過兩天又有了，感覺虧了一個億??，畫面感還是可以，日常看電視需求足夠，重點語音功能很方便，快進後退再也不用怕一下退過了，送的會員大部分資源都能看，但是299的會員不能看很多美劇，好像要499的才可以，不過我爸也不看，就無所謂了,negative,,,
電視機當天到貨，神速。清晰度、音質一般。語音控制器沒有送，非常不爽。,negative,,,
電視機品質不怎麼樣，買了沒多久降價好幾百，這不坑人嘛,negative,,,
電視是不錯，不過剛買一個多月就降價了，心酸。。,negative,,,
電視收到了，物流挺快的，就是券不太給力，沒便宜多少！,negative,,,
電視挺好的，還沒到兩個月，又降價了，這也太快了吧，有多花了三百塊，早知道有活動，就現在買。,negative,,,
電視挺好的，送貨速度也快，就是裝掛架的有點不靠譜，來了之後說沒帶這個型號的掛架，過了一會兒給我拿了個開過封的，又給我推薦更貴的，說不開票給我便宜，一直在那兒磨，最後還是自己回去拿了。,negative,,,
對於京東琳琅滿目的活動已經被繞暈，2998入手其實對的的起價格，尤其是配送神速，這款沒有送掛架，唯一不滿意。希望完善一點不要弄這那的噱頭，讓消費者暈頭有被小忽悠的感覺，總體滿意。,negative,,,
發貨速度挺快的，12號0點下的訂單，13號中午就已經收到，包裝完好，沒想掛到牆上，自己裝上支架就好了，挺簡單的。頭一次進入設置好網路後，再次待機再進入會有比較長的時間的系統設置，應該是在更新系統，時間比較久，需要耐心等待。進入了就好了，電視反應速度挺快，遙控器是藍牙的，挺靈敏的，會員是直接送的，用微信掃了註冊後就是會員了，會員福利還不錯，很多4K清晰度的電影，影片也有比較多，整體上感覺比較滿意，性價比高，最主要的是開機沒有廣告，希望能保持下去，另外，我辛辛苦苦12號0點預約後搶購，結果今天看來，搶購的價格並沒什麼變化，相反，現在還能用減100元的優惠券，讓我這提前預約又等到0點搶購的很不爽！,negative,,,
煩人，才買的就降價，然後現在618又降價，總體來說，產品還是不錯的。,negative,,,
非常差，效果一點都不好，誰買誰上當，顏色不正，清晰度也不好，價格差的不是一點半點，3598，還有更低的，誰買誰後悔，一點都不值，簡直差勁到底，誰買誰後悔，都想砸了，剛買了10來天就降價400多。真是坑爹呀，,negative,,,
剛買就降價200元，京東讓人寒心,negative,,,
還不錯，剛買一個月多就降價，哈哈哈哈哈,negative,,,
家裡買的第二台微鯨電視了，一如既往的好用，資源也是夠多的，對比了樂視小米，最終還是選擇了熟悉的微鯨，趕著618活動價趕緊入手，就是12號0點十幾分下的單，說掛架送完了，白天我再看了一下又有送掛架。我就鬱悶了。,negative,,,
京東618就是坑，每天的價格都在變動，大忽悠。為了早一天看上電視，就不去考慮價格了。拍下送貨倒是很快，安裝也快，我並沒有預約，京東安裝人員就來了，安裝人員挺負責，上牆120。電視清晰，語音靈敏，曲面高大上，價格合適。,negative,,,
看了很多品牌，比較了好幾款同價位的電視最後還是選擇了微鯨，昨天晚上下的單，今天就到貨了。畫質足夠清晰，音響也不錯，大氣簡約，放在客廳正好。就是隨機的遙控器不是藍牙語音的，期待後期會贈送，整體購物體驗還不錯，唯一的遺憾就是昨晚買的，今天就降價了，不過還好送了掛架。,negative,,,
兩個星期降價400元，客服說不能補差價，差評！,negative,,,
六一零點活動買的，說好有贈送掛架，最後竟然沒有，好失望啊，電視機還沒上牆，先來幾張包裝圖,negative,,,
買的時候說是促銷，會有掛架送，結果沒有，買了一周之後降價了，有個價格保護功能，可以申請補差價，這點很滿意,negative,,,
適用了幾天，畫質不錯，看高清沒有拖影現象，機身金色的邊框看著也很大氣。電視買給父母看。只是有一點不太滿意。6月1日秒殺時候都不能能用滿2000減100的券，後來的秒殺都能用券了，等於買貴了100。鬱悶。,negative,,,
收到貨了看起來不錯，只是買的時候說保價618又降價了，希望保價申請成功啊,negative,,,
送貨速度沒的說，很快！昨天早上下的單子，今天已經到了，很喜歡這個品牌，因為家裡已經有了兩台43的微鯨，用了一年，感覺不錯，所以這次還是認准微鯨牌子，一下搞了個55寸的回來， 這次正好趕上京東618搞活動，還送了一個掛架，可是掛架還沒到，不知道什麼時候能送給我,negative,,,
微鯨電視整體不錯，大氣，超薄，超清，好用，贈品實用，物流客服都很負責。只是購買過程太過繁瑣，又是預約，又是零點搶購有點折騰顧客。過程堅辛就不用提了。關鍵最不滿意的一點是降價太快，說的活動價3499，沒10天價格3299，還送100元天貓?購物卡，相當於直接降價300元，還不補差價，著時有價格忽悠消費者嫌疑，讓顧客心裡很不平衡。以上真實感受，逐字手敲，習慣好評，希望天貓繼續完善售後，真正為顧客著想，繼續努力吧,negative,,,
一直很喜歡微鯨電視，這次給小朋友的臥室買了一台43寸的。京東618活動非常給力，價格便宜，量又足。我沒想到現在的電視機非常的輕，只有八公斤，太方便了。不過頁面上，之前問客服說下單之後有掛架送的，問了送配的人員，他們說可能是分開送的。我也不知道到底他們還送不送了，心裡好難過。這款電視機原配的遙控器是紅外遙控器，不帶語音搜索功能比較不方便。客服說曬單有送藍牙遙控器，希望早點能夠收到，藍牙遙控器怎樣給小朋友使用的話就非常方便了。頁面說話，618活動還送手環，希望能夠早日收到手環,negative,,,
一直喜歡微鯨電視，家裡已經有了一個43的小鋼炮，這次果斷618再下手一個55的，喜歡操作和它的設置！就是沒有送藍牙遙控器有點坑，果然這100塊錢還是省在遙控器上面了！希望以後活動不能這樣了,negative,,,
原來想買小米或是樂視，但發現小米遙控器加錢、掛架也加錢，配置也不如微鯨，昨天晚上10點果斷買入微鯨，今天早上10點多到貨，京東快遞不錯，只是沒有收到掛架，先評論一下，今天早上又降價了200元，申請價格保護成功。電視效果也不錯，給微鯨贊一個。,negative,,,
這個電視毫無智慧語音體驗，只有一些簡單的操作，不該貪幾百塊的便宜，買小米就好了，開關機不靈敏，邊框不是金屬的，底座是我見到的最簡陋的 ，螢幕背景暗淡，根本看不清，也不知道設計軟體的怎麼想的 ，大半夜起來12點整搶的，被告知沒有掛架送，已送完，其他贈品也沒兌現，建議大家考慮下別的品牌吧 優點是 便宜、配置高 買電視還是要買聽話的電視,negative,,,
"準備換電視的時候，在雷鳥、微鯨、樂視，kktv幾個牌子間做了對比，還是覺得微鯨雖然是新興的互聯網品牌,品質卻令人放心。同款金色系便宜200，但是因為更喜歡黑色，還是多出了兩百塊錢。但令人氣惱的是，618淩晨下單是三二八八，過幾個小時到了白天後，價格卻降了兩百元。不知道微鯨的行銷策略是怎麼計畫的，實在無語。",negative,,,
